chromosome	bin_start	bin_end	n_reads
chr1	0	1000000	7894
chr1	1000000	2000000	3871
chr1	2000000	3000000	4543
chr1	3000000	4000000	3422
chr1	4000000	5000000	3238
chr1	5000000	6000000	3477
chr1	6000000	7000000	3375
chr1	7000000	8000000	3594
chr1	8000000	9000000	3638
chr1	9000000	10000000	3527
chr1	10000000	11000000	3529
chr1	11000000	12000000	3484
chr1	12000000	13000000	5692
chr1	13000000	14000000	3392
chr1	14000000	15000000	3495
chr1	15000000	16000000	3884
chr1	16000000	17000000	11333
chr1	17000000	18000000	3474
chr1	18000000	19000000	3452
chr1	19000000	20000000	3453
chr1	20000000	21000000	3380
chr1	21000000	22000000	3625
chr1	22000000	23000000	3487
chr1	23000000	24000000	3642
chr1	24000000	25000000	3592
chr1	25000000	26000000	3899
chr1	26000000	27000000	3585
chr1	27000000	28000000	3621
chr1	28000000	29000000	3568
chr1	29000000	30000000	3335
chr1	30000000	31000000	3316
chr1	31000000	32000000	3557
chr1	32000000	33000000	3541
chr1	33000000	34000000	3468
chr1	34000000	35000000	3425
chr1	35000000	36000000	3400
chr1	36000000	37000000	3448
chr1	37000000	38000000	3675
chr1	38000000	39000000	3291
chr1	39000000	40000000	3650
chr1	40000000	41000000	3409
chr1	41000000	42000000	3474
chr1	42000000	43000000	3274
chr1	43000000	44000000	3367
chr1	44000000	45000000	3505
chr1	45000000	46000000	3473
chr1	46000000	47000000	3966
chr1	47000000	48000000	3516
chr1	48000000	49000000	3352
chr1	49000000	50000000	3297
chr1	50000000	51000000	3526
chr1	51000000	52000000	3411
chr1	52000000	53000000	3393
chr1	53000000	54000000	3508
chr1	54000000	55000000	3433
chr1	55000000	56000000	3199
chr1	56000000	57000000	3423
chr1	57000000	58000000	3229
chr1	58000000	59000000	3583
chr1	59000000	60000000	3351
chr1	60000000	61000000	3172
chr1	61000000	62000000	3378
chr1	62000000	63000000	3341
chr1	63000000	64000000	3388
chr1	64000000	65000000	3481
chr1	65000000	66000000	3339
chr1	66000000	67000000	3482
chr1	67000000	68000000	3431
chr1	68000000	69000000	3235
chr1	69000000	70000000	3106
chr1	70000000	71000000	3362
chr1	71000000	72000000	3194
